id_geral,cd_escola,vl_proficiencia_fup,treatment,vl_proficiencia_bl,dumm_rp_08_bl,dumm_rp_09_bl,dumm_rp_14_bl,dumm_rp_23_bl,dumm_rp_24_bl,dumm_rp_49_bl,dumm_rp_50_bl,dumm_rp_64A_bl,dumm_rp_65A_bl,dumm_rp_95_bl,dumm_rp_08p_bl,dumm_rp_14p_bl,dumm_rp_23p_bl,female_coded
10240,35004492.0,63.867718,1,60.63465,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
10241,35923597.0,73.8794,1,42.139748,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
10242,17033993.0,49.836456,0,46.107204,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1
10243,33045496.0,35.463524,0,31.40139,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
10244,33039593.0,77.593414,0,52.845337,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
10246,23169125.0,57.57122,0,54.91542,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0
10247,33033170.0,47.4151,0,16.578775,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
10248,17025206.0,56.4174,1,26.031044,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0
10249,23072067.0,90.69276,1,73.660065,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1
1025,35012178.0,69.77871,1,,,,,,,,,,,1.0,,,,0
10250,35045421.0,41.664494,0,50.520752,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
10253,35008825.0,76.69459,0,67.79431,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1
10254,33063397.0,34.966633,1,55.94092,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0
10255,35006567.0,62.36598,0,66.58488,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10256,53008790.0,68.42239,1,56.843533,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10257,33099936.0,73.82062,1,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10258,35914757.0,57.055695,1,43.60967,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
10259,35011514.0,50.016335,1,31.036673,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1026,35012191.0,55.43164,0,,,,,,,0.0,1.0,0.0,1.0,1.0,,,,0
